DATE,TIME,Demand,Nuclear,LNG,Coal,Oil,Thermal_Other,Hydro,Geothermal,Biomass,Solar,Solar_curtail,Wind,Wind_curtail,PS,Battery,Line,Other,Sum
2024/4/1,0:00,9894,0,3214,2754,0,356,1760,2,248,0,0,24,0,-214,0,1720,30,9894
2024/4/1,0:30,9562,0,2900,2746,0,362,1768,2,242,0,0,26,0,-518,0,2006,28,9562
2024/4/1,1:00,9676,0,3006,2768,0,360,1774,2,248,0,0,20,0,-636,0,2104,30,9676
2024/4/1,1:30,9594,0,2848,2744,0,360,1766,2,248,0,0,36,0,-624,0,2180,34,9594
2024/4/1,2:00,9858,0,3038,2762,0,360,1770,0,246,0,0,36,0,-638,0,2244,40,9858
2024/4/1,2:30,10004,0,3068,2754,0,364,1774,2,242,0,0,62,0,-466,0,2166,38,10004
2024/4/1,3:00,10290,0,3104,2764,0,362,1770,2,246,0,0,68,0,-242,0,2172,44,10290
2024/4/1,3:30,10328,0,3090,2750,0,362,1762,2,244,0,0,54,0,74,0,1946,44,10328
2024/4/1,4:00,10578,0,3274,2760,0,364,1794,2,242,0,0,88,0,144,0,1858,52,10578
2024/4/1,4:30,10634,0,3226,2752,0,360,1790,2,244,0,0,94,0,316,0,1804,46,10634
2024/4/1,5:00,10970,0,3266,2766,0,364,1802,2,244,0,0,78,0,510,0,1870,68,10970
2024/4/1,5:30,10938,0,3176,2742,0,360,1780,0,242,10,0,100,0,596,0,1874,58,10938
2024/4/1,6:00,11224,0,3084,2768,0,362,1792,2,244,236,0,100,0,558,0,2032,46,11224
2024/4/1,6:30,11626,0,2934,2744,0,358,1786,2,240,1096,0,98,0,366,0,1956,46,11626
2024/4/1,7:00,12256,0,2722,2758,0,358,1770,2,242,2354,0,94,0,-180,0,2116,20,12256
2024/4/1,7:30,12798,0,2854,2724,0,362,1802,2,244,3724,0,92,0,-794,0,1770,18,12798
2024/4/1,8:00,13782,0,2918,2770,0,372,1824,2,244,5174,0,90,0,-1470,0,1832,26,13782
2024/4/1,8:30,14648,0,2670,2750,0,368,1836,2,242,6390,0,92,0,-1816,0,2092,22,14648
2024/4/1,9:00,15202,0,2762,2530,0,366,1826,2,242,7348,0,90,0,-2322,0,2330,28,15202
2024/4/1,9:30,15494,0,3034,2260,0,342,1844,2,242,8004,0,98,0,-2560,0,2198,30,15494
2024/4/1,10:00,15408,0,2796,2156,0,320,1844,2,242,8384,0,114,0,-2532,0,2048,34,15408
2024/4/1,10:30,15484,0,3190,2024,0,312,1836,2,246,8674,0,152,0,-2326,0,1342,32,15484
2024/4/1,11:00,15634,0,3194,1906,0,290,1852,0,242,8986,0,182,0,-2210,0,1152,40,15634
2024/4/1,11:30,15414,0,3276,1730,0,268,1742,2,242,9048,0,186,0,-2420,0,1202,138,15414
2024/4/1,12:00,14660,0,2680,1696,0,240,1834,2,242,9038,0,212,0,-2924,0,1500,140,14660
2024/4/1,12:30,14550,0,2492,1694,0,232,1896,2,248,9050,0,224,0,-2990,0,1562,140,14550
2024/4/1,13:00,15210,0,2686,1692,0,232,1914,2,240,8888,0,216,0,-2316,0,1516,140,15210
2024/4/1,13:30,15324,0,2838,1692,0,230,1896,2,248,8420,0,202,0,-1974,0,1630,140,15324
2024/4/1,14:00,15158,0,2986,1700,0,232,1942,2,244,7840,0,190,0,-1722,0,1604,140,15158
2024/4/1,14:30,14972,0,3366,1804,0,232,1936,2,252,6998,0,194,0,-1682,0,1732,138,14972
2024/4/1,15:00,14720,0,3346,2042,0,232,1956,0,244,6092,0,194,0,-1316,0,1790,140,14720
2024/4/1,15:30,14854,0,4222,2136,0,238,2086,2,252,4924,0,188,0,-744,0,1516,34,14854
2024/4/1,16:00,14828,0,4772,2360,0,234,2168,2,244,3574,0,188,0,-432,0,1680,38,14828
2024/4/1,16:30,14650,0,4730,2516,0,240,2194,2,252,2220,0,202,0,34,0,2226,34,14650
2024/4/1,17:00,14312,0,5324,2716,0,234,2262,2,246,1004,0,214,0,288,0,1982,40,14312
2024/4/1,17:30,14410,0,5718,2930,0,234,2248,2,252,210,0,222,0,532,2,2028,32,14410
