DATE,TIME,Demand,Nuclear,LNG,Coal,Oil,Thermal_Other,Hydro,Geothermal,Biomass,Solar,Solar_curtail,Wind,Wind_curtail,PS,Battery,Line,Other,Sum
2024/4/1,0:00:00,10714,4526,3291,2352,6,240,1893,0,291,0,0,5,0,-151,0,-1806,67,10714
2024/4/1,0:30:00,10385,4526,3686,2273,6,243,1895,0,291,0,0,6,0,-486,0,-2122,67,10385
2024/4/1,1:00:00,10312,4526,3640,2221,6,244,1906,0,290,0,0,9,0,-525,0,-2072,67,10312
2024/4/1,1:30:00,10422,4526,3744,2197,6,245,1899,0,290,0,0,12,0,-542,0,-2020,65,10422
2024/4/1,2:00:00,10719,4526,4051,2197,5,246,1933,0,290,0,0,4,0,-349,0,-2258,74,10719
2024/4/1,2:30:00,11091,4526,3847,2194,5,247,1944,0,293,0,0,4,0,218,0,-2258,71,11091
2024/4/1,3:00:00,11410,4526,3967,2195,5,248,1987,0,292,0,0,15,0,381,0,-2278,72,11410
2024/4/1,3:30:00,11455,4526,3923,2193,5,248,1974,0,292,0,0,29,0,375,0,-2182,72,11455
2024/4/1,4:00:00,11501,4525,3975,2109,5,249,1977,0,292,0,0,27,0,333,0,-2062,71,11501
2024/4/1,4:30:00,11532,4525,3969,2102,5,250,1980,0,291,0,0,28,0,336,0,-2026,72,11532
2024/4/1,5:00:00,11569,4525,3601,2110,5,261,1922,0,290,0,0,40,0,336,0,-1590,69,11569
2024/4/1,5:30:00,11464,4526,3701,2110,5,259,1921,0,290,2,0,29,0,360,0,-1806,67,11464
2024/4/1,6:00:00,11594,4526,3669,2112,5,256,1932,0,291,118,0,32,0,329,0,-1740,64,11594
2024/4/1,6:30:00,11820,4526,3153,2112,5,256,1969,0,291,518,0,28,0,337,0,-1440,65,11820
2024/4/1,7:00:00,12257,4526,2896,2040,4,257,1974,0,291,1219,0,21,0,-42,0,-966,37,12257
2024/4/1,7:30:00,12779,4526,2465,2030,4,257,1981,0,292,1999,0,23,0,-920,0,88,34,12779
2024/4/1,8:00:00,13535,4525,2609,1842,4,257,2111,0,291,2802,0,17,0,-1420,0,502,-5,13535
2024/4/1,8:30:00,14261,4526,2257,1539,4,258,2127,0,290,3530,0,17,0,-1589,0,1306,-4,14261
2024/4/1,9:00:00,14803,4525,1654,1428,4,259,2247,0,289,4175,0,26,0,-1674,0,1904,-34,14803
2024/4/1,9:30:00,14983,4525,1401,1330,4,261,2255,0,287,4679,0,32,0,-1749,0,1988,-30,14983
2024/4/1,10:00:00,15004,4524,1122,1267,4,261,2097,0,286,5058,0,37,0,-1938,0,2336,-50,15004
2024/4/1,10:30:00,15085,4524,1031,1266,4,262,2097,0,289,5326,0,38,0,-2189,0,2488,-51,15085
2024/4/1,11:00:00,15075,4524,908,1269,4,264,2106,0,292,5499,0,43,0,-2471,0,2698,-61,15075
2024/4/1,11:30:00,14983,4524,946,1185,4,265,2107,0,291,5566,0,43,0,-2428,0,2540,-60,14983
2024/4/1,12:00:00,14425,4524,832,995,4,242,2072,0,291,5528,16,54,0,-1941,0,1868,-44,14425
2024/4/1,12:30:00,14340,4526,809,836,4,243,2047,0,290,5435,19,69,0,-1191,0,1310,-38,14340
2024/4/1,13:00:00,14977,4524,1226,570,4,257,2034,0,290,5308,0,81,0,-607,0,1352,-62,14977
2024/4/1,13:30:00,15049,4524,1320,410,5,256,2050,0,289,5063,0,90,0,-537,0,1642,-63,15049
2024/4/1,14:00:00,14959,4525,1201,404,15,255,2064,0,291,4687,0,107,0,-315,0,1788,-63,14959
2024/4/1,14:30:00,14812,4525,1578,436,30,255,2087,0,292,4225,0,103,0,-315,0,1658,-62,14812
2024/4/1,15:00:00,14775,4526,1724,626,44,255,2127,0,293,3658,0,106,0,-83,0,1536,-37,14775
2024/4/1,15:30:00,14862,4526,1602,989,122,253,2222,0,292,2966,0,108,0,165,0,1650,-33,14862
2024/4/1,16:00:00,14930,4525,2559,1349,211,255,2435,0,296,2199,0,107,0,570,0,416,8,14930
2024/4/1,16:30:00,14924,4525,2966,1537,298,248,2445,0,294,1429,0,107,0,1080,0,-12,7,14924
2024/4/1,17:00:00,14819,4525,3181,1804,320,226,2459,0,295,746,0,104,0,969,0,142,48,14819
2024/4/1,17:30:00,14922,4525,3194,2024,298,223,2464,0,294,258,0,121,0,974,0,500,47,14922
2024/4/1,18:00:00,15103,4525,3543,2085,290,221,2466,0,293,21,0,126,0,950,0,524,59,15103
2024/4/1,18:30:00,15368,4525,3948,2095,448,219,2474,0,295,0,0,127,0,1196,0,-16,57,15368
2024/4/1,19:00:00,15215,4525,4296,2106,223,216,2473,0,294,0,0,116,0,1019,0,-120,67,15215
2024/4/1,19:30:00,15006,4526,4346,2115,173,217,2470,0,296,0,0,95,0,820,0,-116,64,15006
