DATE,TIME,Demand,Nuclear,LNG,Coal,Oil,Thermal_Other,Hydro,Geothermal,Biomass,Solar,Solar_curtail,Wind,Wind_curtail,PS,Battery,Line,Other,Sum
2024/4/1,0:00:00,1978,878,154,1238,0,100,478,,174,0,0,16,0,14,,-1074,,1978
2024/4/1,0:30:00,1958,880,154,1230,0,100,468,,180,0,0,4,0,12,,-1070,,1958
2024/4/1,1:00:00,1974,878,154,1318,0,98,490,,174,0,0,8,0,12,,-1158,,1974
2024/4/1,1:30:00,2026,880,152,1330,0,98,502,,176,0,0,20,0,12,,-1144,,2026
2024/4/1,2:00:00,2126,878,154,1374,0,96,516,,174,0,0,18,0,12,,-1096,,2126
2024/4/1,2:30:00,2230,880,152,1446,0,98,500,,178,0,0,22,0,12,,-1058,,2230
2024/4/1,3:00:00,2344,878,154,1558,0,92,520,,174,0,0,16,0,28,,-1076,,2344
2024/4/1,3:30:00,2430,880,154,1678,0,98,522,,176,0,0,24,0,48,,-1150,,2430
2024/4/1,4:00:00,2472,878,154,1744,0,94,548,,174,0,0,26,0,54,,-1200,,2472
2024/4/1,4:30:00,2510,880,152,1758,0,88,544,,180,0,0,34,0,58,,-1184,,2510
2024/4/1,5:00:00,2504,878,168,1764,0,90,542,,174,0,0,28,0,358,,-1498,,2504
2024/4/1,5:30:00,2470,880,171,1741,0,92,538,,178,0,0,44,0,372,,-1546,,2470
2024/4/1,6:00:00,2420,878,158,1662,0,96,542,,174,50,0,36,0,370,,-1546,,2420
2024/4/1,6:30:00,2404,880,189,1445,0,96,538,,178,232,0,40,0,256,,-1450,,2404
2024/4/1,7:00:00,2424,878,182,1362,0,152,514,,174,488,0,52,0,30,,-1408,,2424
2024/4/1,7:30:00,2468,880,164,1312,0,152,508,,170,756,0,74,0,26,,-1574,,2468
2024/4/1,8:00:00,2668,878,160,1260,0,174,488,,172,1116,0,84,0,20,,-1684,,2668
2024/4/1,8:30:00,2784,880,156,1160,0,174,470,,170,1490,0,92,0,20,,-1828,,2784
2024/4/1,9:00:00,2900,878,168,1212,0,198,472,,160,1738,0,106,0,12,,-2044,,2900
2024/4/1,9:30:00,2946,880,164,1246,0,208,458,,158,1968,0,112,0,-290,,-1958,,2946
2024/4/1,10:00:00,2968,878,154,1112,0,214,466,,140,2260,0,116,0,-296,,-2076,,2968
2024/4/1,10:30:00,3006,878,162,1160,0,212,480,,128,2478,0,128,0,-584,,-2036,,3006
2024/4/1,11:00:00,2998,878,154,1037,0,211,486,,124,2600,0,118,0,-592,,-2018,,2998
2024/4/1,11:30:00,2964,878,152,938,0,212,486,,126,2646,0,132,0,-600,,-2006,,2964
2024/4/1,12:00:00,2782,878,185,796,0,225,444,,122,2552,101,134,0,-600,,-1954,,2782
2024/4/1,12:30:00,2784,880,215,742,0,211,440,,128,2484,161,138,0,-600,,-1854,,2784
2024/4/1,13:00:00,2918,878,201,738,0,223,440,,122,2596,0,136,0,-596,,-1820,,2918
2024/4/1,13:30:00,2926,880,155,796,0,217,454,,126,2520,0,152,0,-596,,-1778,,2926
2024/4/1,14:00:00,2872,878,188,872,0,222,458,,130,2378,0,152,0,-594,,-1812,,2872
2024/4/1,14:30:00,2840,880,188,894,0,228,448,,144,2170,0,158,0,-280,,-1990,,2840
2024/4/1,15:00:00,2738,878,194,934,0,204,460,,154,1896,0,152,0,-264,,-1870,,2738
2024/4/1,15:30:00,2794,880,200,1082,0,192,496,,164,1564,0,158,0,24,,-1966,,2794
2024/4/1,16:00:00,2758,878,226,1318,0,156,462,,172,1210,0,156,0,22,,-1842,,2758
2024/4/1,16:30:00,2766,880,255,1517,0,142,478,,168,840,0,164,0,26,,-1704,,2766
2024/4/1,17:00:00,2744,878,275,1855,0,160,494,,172,492,0,154,0,38,,-1774,,2744
2024/4/1,17:30:00,2748,878,213,2035,0,180,498,,172,196,0,140,0,334,,-1898,,2748
2024/4/1,18:00:00,2736,878,193,2006,0,173,560,,170,22,0,122,0,350,,-1738,,2736
2024/4/1,18:30:00,2798,880,199,2084,0,167,548,,176,0,0,110,0,362,,-1728,,2798
2024/4/1,19:00:00,2746,878,185,2064,0,169,516,,172,0,0,110,0,360,,-1708,,2746
2024/4/1,19:30:00,2704,880,187,2034,0,161,514,,176,0,0,98,0,364,,-1710,,2704
2024/4/1,20:00:00,2644,878,185,2086,0,157,494,,176,0,0,92,0,352,,-1776,,2644
2024/4/1,20:30:00,2616,880,187,1890,0,159,492,,174,0,0,100,0,350,,-1616,,2616
2024/4/1,21:00:00,2548,878,199,1915,0,118,466,,178,0,0,76,0,328,,-1610,,2548
2024/4/1,21:30:00,2462,880,207,1907,0,82,450,,174,0,0,48,0,314,,-1600,,2462
2024/4/1,22:00:00,2390,878,203,1699,0,90,398,,176,0,0,38,0,276,,-1368,,2390
2024/4/1,22:30:00,2336,880,192,1658,0,86,438,,176,0,0,22,0,314,,-1430,,2336
2024/4/1,23:00:00,2340,878,186,1616,0,84,386,,178,0,0,20,0,310,,-1318,,2340
2024/4/1,23:30:00,2282,880,175,1597,0,88,392,,174,0,0,20,0,312,,-1356,,2282
2024/4/2,0:00:00,2222,878,178,1566,0,90,372,,176,0,0,10,0,50,,-1098,,2222
2024/4/2,0:30:00,2190,880,184,1624,0,120,380,,176,0,0,10,0,24,,-1208,,2190
2024/4/2,1:00:00,2200,878,190,1602,0,180,394,,176,0,0,6,0,22,,-1248,,2200
